52 663
34 48 85
19 46 680
15 22 249
22 28 296
12 51 279
2 37 462
11 40 836
21 26 844
48 51 1197
20 29 242
0 20 287
5 22 469
27 39 550
3 18 475
7 26 1049
11 12 452
14 35 175
12 35 881
30 43 285
13 35 1039
41 45 769
6 32 1460
12 47 756
6 24 1012
29 33 439
34 40 421
1 32 1489
18 21 290
32 36 669
17 34 273
23 49 358
17 32 903
26 35 700
24 46 551
15 47 262
46 49 646
3 48 345
3 19 501
21 22 175
29 47 553
39 50 585
30 45 416
18 48 267
29 50 1044
0 35 125
41 47 814
26 47 572
14 25 571
13 23 931
21 50 832
0 21 46
5 6 957
8 30 640
46 47 642
45 51 941
15 21 297
1 43 745
6 17 562
28 37 484
45 47 125
0 5 326
12 31 1004
20 38 453
29 45 481
12 50 540
18 50 843
7 41 856
35 42 364
22 48 244
26 44 914
13 43 966
8 41 1036
31 44 151
8 9 83
1 42 1124
9 28 950
14 37 61
16 31 430
12 32 1010
21 23 318
39 42 293
44 46 970
17 21 116
11 31 651
31 39 186
10 45 787
29 46 782
12 37 804
40 47 499
32 51 1089
17 40 330
6 30 512
4 47 47
49 51 1151
16 27 1136
21 27 753
0 7 427
0 16 430
24 49 439
25 42 756
19 49 35
20 45 530
42 47 313
11 17 807
29 43 383
47 49 343
38 40 407
40 46 1133
16 50 1197
2 36 447
36 48 166
30 36 354
7 29 759
10 30 1187
20 49 313
24 51 835
41 43 651
4 36 87
14 41 860
38 45 186
18 42 368
15 41 640
10 47 775
15 33 211
12 18 1169
14 49 406
19 38 314
12 14 784
21 46 832
4 9 513
36 43 130
45 50 564
19 27 691
5 46 662
3 50 397
41 46 1093
28 29 260
16 29 492
39 47 81
18 35 318
19 36 323
1 10 1639
21 32 853
4 33 163
27 51 514
5 20 612
10 51 399
24 39 226
4 11 382
38 47 113
22 47 401
5 16 735
23 28 478
13 14 962
1 36 858
2 7 308
2 11 891
17 35 271
44 48 196
13 18 1341
10 22 1144
7 10 1145
19 43 194
13 39 1004
8 24 714
21 37 281
