180 8055
0 44 30
113 124 9000
71 76 3500
139 172 3500
82 152 9000
100 155 30
102 149 30
46 61 9000
20 57 3500
27 163 3500
1 176 9000
28 119 3500
94 144 3500
49 128 30
23 175 9000
94 105 3500
71 134 9000
26 168 30
163 165 10000
166 171 3500
9 133 9000
17 77 30
81 156 3500
94 107 9000
41 69 9000
101 106 10000
83 136 9000
81 158 3500
21 122 3500
38 83 9000
101 138 9000
10 30 30
3 167 9000
36 177 3500
64 75 3500
38 69 9000
62 168 30
45 69 9000
11 88 9000
12 124 9000
69 71 10000
134 161 3500
14 109 3500
42 62 9000
36 89 3500
82 91 3500
21 104 30
102 130 30
91 147 3500
64 176 30
105 149 30
5 113 30
32 150 3500
9 174 30
122 155 3500
50 155 30
112 141 9000
132 143 0
62 97 3500
101 167 3500
56 58 10000
16 63 3500
93 153 3500
16 106 9000
21 130 9000
3 50 9000
5 117 30
70 127 3500
74 128 30
3 75 3500
98 153 9000
94 99 3500
84 113 9000
6 8 10000
41 113 9000
22 79 9000
40 91 9000
58 125 9000
16 118 3500
60 64 10000
12 121 3500
108 145 9000
66 73 3500
59 149 9000
45 133 9000
40 127 3500
116 129 9000
56 171 9000
81 135 9000
108 177 9000
37 84 9000
7 24 3500
66 134 3500
116 121 3500
60 162 9000
50 166 9000
32 87 9000
46 177 3500
73 125 9000
104 134 9000
35 40 3500
5 176 30
5 101 3500
23 141 3500
11 80 3500
98 116 9000
101 152 9000
114 162 3500
62 146 30
17 170 9000
17 135 3500
57 156 9000
39 152 3500
112 177 30
12 85 9000
4 114 30
58 133 9000
3 26 3500
156 174 3500
52 116 9000
43 169 9000
60 82 9000
83 99 3500
30 75 3500
72 131 30
34 155 3500
62 80 9000
101 161 9000
64 79 9000
71 114 3500
53 131 30
5 86 9000
19 140 3500
7 62 3500
13 157 30
137 153 30
8 40 30
28 115 3500
120 169 9000
91 118 9000
57 113 9000
65 109 3500
95 165 9000
3 161 9000
77 122 9000
30 154 3500
87 133 9000
36 141 30
3 18 3500
78 88 9000
49 135 3500
15 21 10000
79 121 9000
37 168 3500
62 100 9000
51 92 30
74 131 30
106 128 9000
4 158 30
89 177 3500
73 124 9000
142 161 3500
80 150 3500
25 119 9000
26 33 10000
57 129 9000
17 23 10000
60 178 9000
62 133 3500
3 171 30
113 171 30
28 151 3500
66 98 3500
29 90 30
62 144 30
98 158 3500
111 138 9000
6 43 30
129 132 3500
9 20 9000
10 66 30
24 164 3500
48 92 30
24 58 9000
71 116 3500
49 126 9000
84 155 3500
9 116 30
139 151 30
9 163 9000
90 146 3500
29 62 30
55 99 3500
138 164 3500
116 141 3500
31 110 9000
20 35 3500
65 95 3500
27 52 9000
29 126 9000
4 11 10000
0 26 30
137 161 9000
133 147 9000
49 157 3500
26 68 30
67 154 9000
32 158 9000
28 101 9000
45 47 10000
60 109 9000
5 95 3500
61 106 3500
41 156 30
8 15 30
43 56 3500
109 138 3500
108 112 10000
32 154 9000
0 64 30
11 27 3500
97 160 3500
23 164 9000
136 163 9000
151 154 10000
34 60 9000
75 92 9000
92 106 3500
55 83 30
37 94 9000
2 66 30
128 163 30
29 100 9000
61 74 3500
73 151 3500
25 29 10000
128 157 9000
129 143 3500
87 164 9000
50 169 3500
37 47 10000
71 139 3500
86 121 3500
6 103 30
105 160 3500
83 122 30
86 148 3500
75 142 9000
32 61 9000
4 90 30
43 97 9000
119 135 3500
58 63 9000
73 148 3500
10 52 30
80 138 9000
154 164 3500
90 110 9000
51 173 3500
141 165 9000
2 128 30
43 47 10000
93 148 3500
0 119 30
20 136 3500
19 51 3500
33 55 9000
6 174 30
125 136 9000
126 153 3500
102 161 9000
43 176 3500
7 102 3500
95 120 9000
62 99 3500
65 171 30
39 52 3500
18 73 9000
58 168 3500
111 161 9000
1 20 3500
24 144 3500
156 175 3500
37 130 9000
10 60 30
67 132 9000
42 64 30
11 168 9000
129 130 0
117 139 9000
25 46 9000
52 169 9000
42 179 9000
72 130 30
79 93 3500
87 136 9000
84 152 9000
41 120 3500
15 113 9000
44 51 9000
79 106 3500
13 39 9000
161 170 3500
86 169 3500
75 149 3500
16 68 3500
26 177 30
121 151 3500
1 168 9000
62 176 30
36 91 3500
1 121 9000
98 124 9000
7 124 30
50 171 9000
13 56 9000
108 119 0
55 82 30
7 162 30
98 137 3500
128 172 9000
33 47 3500
11 29 3500
128 166 9000
135 175 9000
62 87 3500
38 155 9000
78 163 3500
114 148 9000
23 136 9000
78 111 3500
15 150 30
11 55 9000
63 135 3500
140 151 30
37 45 10000
46 65 9000
164 167 10000
98 175 9000
106 121 30
112 162 3500
16 131 3500
105 157 9000
109 154 9000
99 161 3500
124 138 9000
59 164 3500
6 81 30
79 148 9000
39 103 9000
32 140 9000
13 85 9000
15 149 30
58 167 3500
49 149 9000
45 65 30
80 153 3500
18 34 3500
6 88 30
89 129 3500
117 167 3500
107 113 30
116 172 30
123 179 3500
76 77 20
62 155 30
149 176 3500
60 125 3500
145 154 10000
27 160 3500
22 72 9000
62 121 9000
22 116 3500
10 73 30
0 122 30
63 93 3500
30 70 9000
19 33 3500
74 161 9000
92 145 9000
34 53 3500
107 160 3500
1 154 9000
29 146 9000
39 162 9000
57 168 3500
112 138 3500
56 143 3500
94 95 20
76 119 3500
27 118 3500
76 168 30
40 83 30
60 75 3500
47 136 9000
87 97 3500
53 69 30
104 178 3500
46 152 3500
31 95 30
73 171 9000
114 172 30
17 154 9000
139 155 9000
155 176 3500
88 134 9000
0 11 0
134 135 20
62 162 9000
31 154 3500
76 91 9000
67 168 30
150 166 3500
33 105 9000
76 113 9000
104 107 10000
24 33 10000
24 37 9000
18 98 9000
49 108 30
78 92 3500
57 75 9000
122 169 3500
152 170 9000
90 156 30
30 147 9000
53 136 3500
82 173 9000
23 152 9000
30 98 9000
42 171 3500
26 54 9000
57 170 9000
52 130 30
87 137 9000
141 145 9000
98 155 30
2 72 30
0 69 30
6 61 30
74 99 3500
66 80 3500
3 96 3500
154 171 3500
59 144 9000
37 41 10000
53 73 30
75 126 9000
11 121 9000
16 116 9000
57 145 30
86 173 9000
127 178 3500
37 157 9000
4 25 30
8 37 30
147 178 3500
69 106 3500
14 115 9000
57 135 3500
34 55 3500
115 117 10000
49 158 3500
26 175 9000
39 73 9000
16 170 9000
2 91 30
2 73 30
113 118 10000
83 144 3500
97 110 9000
2 4 10000
129 165 30
11 146 30
6 93 30
122 164 30
24 111 3500
115 154 3500
80 112 3500
37 39 10000
7 157 9000
63 109 3500
18 72 9000
86 141 9000
162 164 10000
140 176 3500
98 103 10000
51 76 9000
56 168 3500
94 172 3500
64 164 30
59 155 9000
70 76 3500
50 66 9000
9 123 9000
101 113 9000
49 111 30
95 123 3500
157 159 10000
130 152 3500
124 139 9000
96 163 3500
29 178 30
28 142 30
12 175 9000
74 118 3500
107 173 3500
76 146 3500
65 110 3500
3 44 3500
32 179 30
22 134 3500
102 139 9000
163 164 0
33 115 9000
11 41 9000
113 121 3500
136 161 9000
168 169 20
73 107 9000
27 54 9000
18 143 9000
164 170 9000
33 178 30
3 9 10000
0 67 30
64 94 3500
21 142 3500
89 93 10000
54 118 9000
10 67 30
43 92 3500
60 144 30
105 114 30
29 161 3500
97 133 9000
30 100 9000
84 133 30
38 131 3500
14 154 30
104 136 3500
44 170 9000
68 78 3500
126 132 3500
36 126 3500
109 142 9000
63 79 3500
155 173 3500
77 84 3500
97 130 30
8 77 30
54 175 3500
108 174 9000
15 42 3500
25 102 30
74 172 30
141 148 30
12 99 30
5 91 3500
134 157 3500
3 128 9000
15 23 10000
94 109 30
75 121 30
97 177 9000
22 137 9000
22 129 3500
34 87 9000
141 179 3500
16 19 10000
61 117 3500
6 162 30
1 47 3500
65 165 30
94 152 9000
64 152 9000
76 157 9000
13 109 9000
146 152 10000
27 143 9000
5 80 9000
122 175 9000
4 74 30
94 112 9000
52 95 9000
80 155 9000
116 126 3500
1 175 9000
24 45 3500
16 53 3500
38 148 3500
140 177 3500
105 128 9000
118 142 9000
5 151 9000
31 113 3500
27 179 30
40 133 30
60 131 3500
9 82 3500
109 155 9000
86 109 30
26 137 9000
101 176 3500
83 124 9000
128 150 3500
40 88 9000
32 44 9000
43 83 30
11 76 3500
87 163 30
75 78 10000
3 166 9000
7 43 3500
25 122 9000
68 169 30
15 125 3500
115 177 30
77 113 9000
27 37 3500
65 132 9000
155 158 3500
2 124 30
43 115 9000
11 117 9000
14 170 9000
102 144 30
40 65 30
80 125 9000
47 174 9000
137 177 9000
31 142 30
136 150 30
6 32 30
97 174 3500
11 51 3500
50 150 9000
43 143 30
73 96 9000
51 103 3500
26 106 30
90 155 3500
73 99 3500
84 130 9000
43 44 0
37 44 10000
64 90 9000
54 76 9000
165 170 9000
64 112 9000
24 46 9000
