666 110723
280 335 630
258 370 299
32 615 10742
60 223 14349
40 186 10008
289 352 640
34 293 7476
141 359 2470
63 180 10319
187 276 4936
23 540 13039
227 604 10885
211 246 7525
248 579 11568
140 185 3922
359 416 1386
388 539 5870
274 665 15656
38 274 7176
221 306 9406
41 131 7214
21 126 9117
389 489 2285
85 437 9749
329 403 701
375 429 1562
264 638 14848
299 430 2491
119 280 10195
549 653 12016
35 578 16358
221 625 13813
344 580 11203
298 586 11989
573 585 3686
100 215 10602
135 380 7751
285 378 1329
15 216 9501
270 664 13999
55 395 9878
139 416 4283
332 529 5149
99 459 13172
126 133 1863
225 444 8752
67 586 17181
124 527 12400
471 625 6169
295 385 2216
229 593 9677
551 592 5944
398 574 8917
575 631 4713
516 652 15917
437 602 5178
130 321 8314
1 242 7690
64 522 12423
224 606 10166
167 355 4657
139 354 3195
6 274 7121
433 655 16102
43 168 7176
143 215 7773
63 581 17552
68 463 10651
92 131 6231
7 21 1614
167 369 4719
438 534 4469
19 74 4833
404 594 10776
163 274 4897
276 432 2015
153 563 7472
59 370 9711
419 573 8560
639 661 9804
128 138 4243
135 399 8844
168 639 16512
29 37 716
174 347 5286
194 417 5606
253 313 2436
97 631 15689
6 580 13636
240 309 5369
417 556 7169
125 141 7638
45 369 6502
174 177 1304
6 200 13267
385 608 9353
60 629 11840
621 654 8256
350 540 5760
153 261 2041
209 612 10421
318 324 744
442 500 2626
176 440 6194
70 315 10116
184 581 10636
212 523 5601
288 469 5726
184 189 959
400 634 9389
39 178 9649
429 651 17157
85 665 10777
629 652 8116
439 661 14344
227 389 9712
559 588 4028
127 403 9773
482 642 9867
372 444 1064
356 592 12465
74 219 11145
383 408 577
79 535 12569
186 350 5057
427 434 760
350 539 5690
61 571 15899
398 626 8846
412 569 7936
1 638 9889
207 222 1946
55 89 2924
318 628 8536
31 65 2732
16 187 8019
254 573 9682
173 623 13663
35 520 11731
388 508 4153
58 472 13462
377 392 1032
63 413 10547
65 499 11802
139 345 3317
8 51 3664
25 53 1214
128 315 10559
323 431 2103
274 618 8115
292 583 12306
20 359 9328
298 603 8049
92 205 14463
266 417 1065
92 660 7384
461 545 4262
83 490 9662
365 646 14952
199 467 8492
170 316 5296
74 450 10380
348 429 1508
265 315 2207
164 524 2946
435 559 4948
119 410 10774
447 491 1858
29 143 7055
54 445 10284
138 348 5222
534 644 10957
416 503 2706
184 380 3346
90 231 13755
309 464 3721
22 171 11026
182 466 8163
139 496 4930
239 572 10862
76 496 10512
295 521 4526
251 402 1635
151 179 3332
304 376 1614
388 579 10185
130 539 12607
259 554 7981
629 658 3968
201 555 5059
235 423 2332
66 560 15352
541 607 4069
60 372 9796
261 509 5429
77 149 7571
258 535 5233
98 561 18184
488 605 6721
10 318 6170
476 513 6312
260 536 5871
459 565 5633
285 626 9687
29 468 9263
426 591 10793
349 521 3542
83 179 5939
95 489 12294
441 529 4363
33 336 7886
353 508 5336
222 355 8542
185 649 15933
385 594 11248
355 569 9095
416 596 9501
50 66 1641
383 468 4453
213 311 9482
55 578 16944
191 483 11554
455 579 8359
296 500 3923
176 243 3820
253 549 8101
47 601 12232
34 386 9503
268 615 8388
80 197 9445
349 394 626
258 405 1134
378 616 8093
306 498 4249
70 122 5671
503 626 9539
240 572 10781
259 663 15170
343 560 7158
191 394 5336
128 403 9566
210 642 11116
17 344 4246
178 228 4744
147 158 3119
324 340 1002
509 597 6595
278 525 4623
441 507 5145
197 504 2822
172 190 2435
2 269 7174
45 176 7742
14 587 14785
41 293 5873
217 306 10282
21 570 12045
304 385 2372
46 574 14871
175 192 2343
255 371 387
536 555 2056
308 440 4020
218 508 5576
32 639 14680
355 397 577
264 641 16421
392 533 5093
185 311 6272
198 496 4171
73 640 18298
169 405 5390
48 405 7461
417 501 2385
229 326 9319
20 537 12846
315 364 1752
261 407 1346
42 177 8557
414 502 2672
217 419 9656
297 402 1670
101 295 10072
121 387 9287
231 355 7823
65 414 10365
189 622 12464
187 657 17594
127 318 9735
389 528 4268
423 593 12451
233 290 8277
53 396 9709
183 482 11476
394 462 2578
195 320 6448
359 552 7215
78 382 7992
260 529 5408
10 237 7092
169 274 4798
217 319 10956
19 200 13950
215 291 9386
331 529 4876
54 603 12720
1 483 4230
27 305 7571
39 287 6838
257 475 7171
303 529 6250
150 556 7390
254 273 759
57 460 12670
43 157 9868
0 607 7448
47 299 5470
25 50 3189
254 511 4943
15 643 16968
85 379 7581
28 435 11489
103 569 19254
129 206 5669
121 171 5823
159 474 6755
265 398 1561
41 394 7237
14 338 5694
46 493 8784
294 348 970
361 594 11575
634 638 4502
259 379 910
563 638 6587
154 525 2241
312 608 7578
206 628 13570
124 615 17136
385 406 1077
270 307 2456
31 622 10407
202 499 3597
355 535 5101
12 547 12083
504 535 2884
91 531 14821
446 600 8085
636 657 2852
135 446 9314
235 370 1557
92 140 8614
74 324 8388
80 572 16767
234 509 7957
223 536 7388
455 555 5350
219 645 12726
255 550 6823
49 372 7863
204 441 6997
351 600 9579
469 506 4524
189 414 4944
43 362 7131
126 165 11339
303 516 4690
163 592 10127
225 327 9603
114 614 19320
140 237 1127
368 613 8014
365 381 822
240 353 1685
121 656 15411
188 640 11785
184 301 5883
407 630 8768
52 276 8814
115 378 11776
463 555 6180
12 628 10395
353 512 4413
398 529 4316
115 167 7562
305 396 1539
282 285 468
77 607 15403
417 465 4153
223 272 8572
292 520 4322
74 203 12837
64 548 15264
259 596 11488
312 360 2400
377 422 747
218 358 7945
314 433 2580
37 591 14301
487 579 9100
303 338 1069
29 350 7047
152 392 2261
265 431 2036
521 549 3693
420 612 7953
120 324 11160
106 438 14199
446 451 844
10 68 4014
165 245 5372
2 451 7128
136 290 8269
104 585 15978
268 624 9402
10 89 5195
0 515 6624
460 565 5246
61 575 16884
216 584 12999
149 493 2552
228 389 9654
296 523 4881
442 621 7325
490 635 10524
158 641 12942
102 505 12335
233 410 6553
174 516 6508
185 634 11596
151 586 11494
21 191 13853
0 627 6105
72 362 8168
5 402 8475
184 452 4812
185 518 3896
47 458 9169
318 337 847
19 392 8060
166 516 6140
151 608 9916
320 427 1975
328 474 5940
67 395 10224
202 228 4841
418 623 8884
511 544 3160
97 485 15147
235 282 1853
275 542 6511
11 526 9773
29 179 9774
303 414 2585
87 148 8257
65 156 11817
561 612 2563
284 661 13916
16 570 13229
550 624 6807
209 296 8133
141 490 4126
222 365 8302
117 606 18059
278 599 9715
114 326 11962
31 224 14648
386 436 3604
318 541 6238
285 521 4481
312 383 2726
340 504 4352
122 373 9398
512 536 1755
319 533 5502
23 562 13211
279 338 143
15 272 5645
241 367 1979
238 548 8243
306 520 4657
180 371 4387
99 472 15230
176 241 3553
117 472 14845
270 489 2639
255 263 953
327 343 581
63 299 8418
25 349 9187
266 545 7553
75 620 13271
